#{"t_start": 1735016675.688494, "env_id": "Walker2d-v5"}
r,l,t
2449.070005,757,1164.40976
1422.94279,442,1166.199749
2581.706289,757,1169.297481
1962.660139,558,1171.566462
1400.738832,416,1173.247305
1395.926898,422,1174.954065
1129.019699,351,1176.375145
1301.42465,396,1178.017903
1434.322778,425,1179.747411
1226.957751,366,1181.2275
2284.743979,654,1183.880614
1460.154058,436,1185.646614
1497.64671,457,1187.507004
1607.965857,482,1189.484347
1115.042375,378,1191.01576
1095.180341,369,1192.515439
958.044109,313,1193.782576
1832.05623,566,1196.076754
2114.058127,608,1198.576289
1540.171708,453,1200.419579
1180.886742,369,1201.91564
1242.634703,383,1203.472559
700.350948,265,1204.5463
1173.722615,358,1205.998019
1492.830835,438,1207.771499
1682.32735,515,1209.885469
1456.134909,410,1211.551729
1616.12644,484,1213.524833
1185.680685,341,1214.944305
1575.476261,466,1216.829689
1741.921899,521,1218.966584
1246.147561,383,1220.520001
1536.348323,463,1222.394911
1828.067596,601,1224.832857
1208.309786,379,1226.364978
1551.825574,452,1228.197336
1395.974029,419,1229.929217
1700.845821,508,1231.992145
1384.847001,422,1233.700831
1461.83589,456,1235.557345
1426.583819,461,1237.429886
1091.050287,368,1238.955053
1790.067749,543,1241.168521
1411.002976,424,1242.893949
1584.953993,477,1244.831628
1782.605233,511,1246.908088
1329.812885,432,1248.673605
1492.324835,453,1250.532319
961.876183,318,1251.82693
1788.399572,523,1253.945568
1205.328235,372,1255.457811
1452.813502,435,1257.236521
2040.347242,590,1259.669772
894.530721,295,1260.872215
1774.328432,559,1263.144331
1378.697901,417,1264.83053
1204.162966,365,1266.313794
2223.529207,677,1269.097276
1651.112416,478,1271.256183
1304.923478,410,1272.936563
1650.144596,476,1274.859538
1605.16306,494,1276.850609
1346.154818,427,1278.577372
1426.715803,447,1280.431243
1436.760134,418,1282.134758
1708.62487,525,1284.274023
1478.996461,448,1286.103796
1225.800654,392,1287.700046
1747.99047,527,1289.863015
1977.868638,599,1292.304709
551.616716,235,1293.261766
1517.091031,457,1295.123452
3412.548491,1000,1299.191016
1908.993432,587,1301.605819
2101.842326,619,1304.120199
1415.407034,454,1305.970742
1098.108116,327,1307.304187
625.476534,267,1308.393638
1093.408101,348,1309.828786
1199.751876,376,1311.371496
972.81003,330,1312.714457
1716.613443,549,1314.940879
1719.416275,529,1317.085862
3130.134984,919,1320.873119
926.20147,304,1322.114095
1847.567802,552,1324.370415
2216.165275,641,1326.972282
2465.88995,724,1329.962902
1451.76993,425,1331.70647
1268.913326,370,1333.226428
3146.255983,933,1337.002303
1539.635422,473,1338.930318
1864.062003,562,1341.246438
1817.639535,546,1343.477361
1314.166004,395,1345.082486
2478.31779,734,1348.068589
1135.760423,368,1349.565173
2850.169195,829,1352.959904
1864.752188,526,1355.092213
1431.893751,441,1356.893789
1315.448283,452,1358.731397
1232.228777,407,1360.388418
1839.551931,545,1362.640944
1827.569349,533,1364.812899
1053.079522,319,1366.109234
2795.533097,803,1369.378818
1443.030304,465,1371.294553
1187.126434,411,1372.977531
1839.775427,595,1375.401236
1777.738722,538,1377.590253
1523.324603,454,1379.436787
1661.826949,515,1381.578343
1611.816015,513,1383.67029
1917.092831,559,1385.951793
1926.156633,575,1388.286027
1246.826276,348,1389.701048
1383.157126,437,1391.501651
1436.104223,478,1393.459382
1725.343862,524,1395.622249
2487.180798,716,1398.558663
1441.979199,459,1400.415913
611.450653,213,1401.289668
1446.401216,449,1403.14074
1816.724095,534,1405.321102
1436.891183,442,1407.122773
967.552812,330,1408.473358
1626.103495,499,1410.51113
685.556736,260,1411.589858
1318.124348,411,1413.278207
1987.944749,589,1415.709188
1244.616279,381,1417.269348
618.785114,212,1418.154134
2129.27673,643,1420.843341
837.352176,281,1422.036453
3449.074735,981,1426.083422
1437.338722,478,1428.073506
1795.818053,526,1430.253909
1884.94499,545,1432.465531
116.350837,171,1433.150742
1887.423238,593,1435.550808
